trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time,total ride time
1,8270,10683,San Francisco,37.17093115042939,-77.58647936979322,37.1736523397383,-77.61993433646886,2.97,10.71,Completed,Wallet,2023-01-01 00:00:00,2023-01-01 00:08:54, 00:08:54
2,1860,44743,Boston,38.89812691856606,-108.58297695484846,38.93746379536704,-108.55872717079912,8.43,22.41,Completed,UPI,2023-01-01 00:01:00,2023-01-01 00:26:17, 00:25:17
3,6390,75839,San Francisco,38.81457056869823,-89.94260270822319,38.82170236125605,-89.8964345566054,5.46,12.91,Completed,Cash,2023-01-01 00:02:00,2023-01-01 00:18:22, 00:16:22
4,6191,22189,New York,37.29590568598714,-75.32884414927358,37.30137520518609,-75.31748783882725,6.61,15.7,Completed,Wallet,2023-01-01 00:03:00,2023-01-01 00:22:49, 00:19:49
5,6734,61104,Seattle,38.97239533578873,-121.482912862048,38.99208841336341,-121.46790441380276,10.5,19.15,Completed,Wallet,2023-01-01 00:04:00,2023-01-01 00:35:30, 00:31:30
6,7265,84988,San Francisco,37.600550944815616,-106.71906865688572,37.55691580938672,-106.73095912437086,9.94,19.95,Completed,Card,2023-01-01 00:05:00,2023-01-01 00:34:49, 00:29:49
7,1466,82933,San Francisco,40.28855964243779,-82.8082193858109,40.27883011229549,-82.84463502060092,12.22,25.89,Completed,UPI,2023-01-01 00:06:00,2023-01-01 00:42:39, 00:36:39
8,5426,60182,Chicago,40.601188277022246,-78.39873323235332,40.569810860072174,-78.36818593976587,10.14,25.55,Completed,Cash,2023-01-01 00:07:00,2023-01-01 00:37:25, 00:30:25
9,6578,15826,San Francisco,40.29624711069893,-87.57651655291244,40.284637585308246,-87.56478285126917,1.88,7.97,Completed,Cash,2023-01-01 00:08:00,2023-01-01 00:13:38, 00:05:38
10,9322,63503,Boston,40.71263418106593,-78.49965570372784,40.67026654819631,-78.477475359972,3.7,12.21,No-Show,UPI,2023-01-01 00:09:00,2023-01-01 00:20:06, 00:11:06
11,2685,19386,Los Angeles,39.589159042548175,-119.3519437587201,39.58070702508536,-119.33923267120856,7.5,13.99,Completed,Cash,2023-01-01 00:10:00,2023-01-01 00:32:30, 00:22:30
12,1769,54319,Boston,40.37432862818872,-107.8435632936991,40.377110110424994,-107.87886828411702,5.64,11.38,Completed,Card,2023-01-01 00:11:00,2023-01-01 00:27:55, 00:16:55
13,7949,83961,Boston,38.99690304998711,-111.38773010283748,39.01451831776753,-111.43003134579097,1.6,4.93,Completed,UPI,2023-01-01 00:12:00,2023-01-01 00:16:48, 00:04:48
14,3433,21112,Los Angeles,40.16073889938309,-104.14123780996758,40.151155465161054,-104.14166114061577,7.13,15.22,Completed,Cash,2023-01-01 00:13:00,2023-01-01 00:34:23, 00:21:23
15,6311,44486,San Francisco,40.78622125928146,-101.21185168532936,40.83300317980395,-101.21260494422496,1.74,4.88,Completed,Cash,2023-01-01 00:14:00,2023-01-01 00:19:13, 00:05:13
16,6051,76028,Los Angeles,38.52272693011106,-111.36103360098964,38.52474335933591,-111.31870307512295,5.94,14.07,Completed,Cash,2023-01-01 00:15:00,2023-01-01 00:32:49, 00:17:49
17,7420,87010,Los Angeles,40.33664375306437,-76.61809183418887,40.312070015384855,-76.6307148440865,9.4,24.1,No-Show,UPI,2023-01-01 00:16:00,2023-01-01 00:44:12, 00:28:12
18,2184,83565,Boston,38.89645074496169,-115.98429669307588,38.860638691663794,-116.0285248076544,7.19,19.78,Completed,Card,2023-01-01 00:17:00,2023-01-01 00:38:34, 00:21:34
19,5555,66686,Seattle,39.45112706817463,-84.04660046987165,39.444792962646986,-84.02128964822164,4.49,13.35,Completed,UPI,2023-01-01 00:18:00,2023-01-01 00:31:28, 00:13:28
20,4385,55284,Boston,40.531085445062544,-78.32868286287555,40.51050442773467,-78.29286883305338,5.22,13.43,Completed,Wallet,2023-01-01 00:19:00,2023-01-01 00:34:39, 00:15:39
21,7396,15886,Seattle,40.52355784818817,-102.21212425883596,40.54442233586987,-102.19987992272834,13.13,30.11,Completed,UPI,2023-01-01 00:20:00,2023-01-01 00:59:23, 00:39:23
22,9666,24412,Chicago,39.96864221343976,-96.19687303314625,39.98973700768252,-96.22762517427914,6.43,16.21,Completed,Cash,2023-01-01 00:21:00,2023-01-01 00:40:17, 00:19:17
23,3558,83992,New York,38.25005300500109,-77.6871899214083,38.22069674335474,-77.6596028833707,8.1,15.18,Completed,UPI,2023-01-01 00:22:00,2023-01-01 00:46:18, 00:24:18
24,8849,70919,San Francisco,37.34621646231124,-114.62424029927452,37.365917846489936,-114.62920024705488,6.27,13.78,Completed,Card,2023-01-01 00:23:00,2023-01-01 00:41:48, 00:18:48
25,3047,39415,Los Angeles,40.94707823219268,-115.74711693990932,40.93656334309317,-115.7058635083655,5.3,12.22,Completed,Wallet,2023-01-01 00:24:00,2023-01-01 00:39:54, 00:15:54
26,3747,28056,Boston,39.2739499367063,-119.59194774959045,39.23030811926833,-119.57738345391002,9.34,17.28,Completed,Wallet,2023-01-01 00:25:00,2023-01-01 00:53:01, 00:28:01
27,1189,95567,Seattle,37.4424099037103,-79.67258600865028,37.39341935087313,-79.64515757541541,6.77,16.78,Completed,UPI,2023-01-01 00:26:00,2023-01-01 00:46:18, 00:20:18
28,3734,32772,Boston,40.83762789318843,-110.32873667346888,40.85090555281359,-110.31507329322991,5.45,15.63,Completed,UPI,2023-01-01 00:27:00,2023-01-01 00:43:21, 00:16:21
29,4005,51388,San Francisco,38.82906650911731,-98.13299637953024,38.83020842926837,-98.09611634625176,9.32,20.11,Cancelled,Card,2023-01-01 00:28:00,2023-01-01 00:55:57, 00:27:57
30,5658,62314,Chicago,40.8490780972331,-107.9889383434135,40.8164827249562,-107.97516579543772,7.76,14.05,Completed,UPI,2023-01-01 00:29:00,2023-01-01 00:52:16, 00:23:16
31,2899,90316,Boston,38.46072054752384,-73.71883757620657,38.45139469805299,-73.67670463680133,1.5,8.16,Completed,Cash,2023-01-01 00:30:00,2023-01-01 00:34:30, 00:04:30
32,8734,84181,Los Angeles,40.63739006313718,-81.8366048440115,40.63314581246526,-81.81786827469747,6.23,13.16,Completed,UPI,2023-01-01 00:31:00,2023-01-01 00:49:41, 00:18:41
33,2267,34924,San Francisco,40.41336999449806,-89.12880927453372,40.4622095600837,-89.10010782049406,4.94,12.42,Completed,Wallet,2023-01-01 00:32:00,2023-01-01 00:46:49, 00:14:49
34,2528,58221,Los Angeles,38.88503291729904,-77.58797340866188,38.87896130140925,-77.5550509042941,7.47,17.27,Completed,Cash,2023-01-01 00:33:00,2023-01-01 00:55:24, 00:22:24
35,4556,51381,New York,38.24936856192276,-109.81798204078594,38.24429727270579,-109.76879597805846,5.9,9.32,Completed,Cash,2023-01-01 00:34:00,2023-01-01 00:51:42, 00:17:42
36,4890,55741,Boston,39.96194409894871,-108.02754782741891,39.98286351009668,-108.0637948679277,15.66,28.08,Completed,Card,2023-01-01 00:35:00,2023-01-01 01:21:58, 00:46:58
37,9838,91019,Seattle,40.40166521099008,-82.83943773492271,40.3721336964872,-82.87161170423475,11.02,25.88,Completed,Card,2023-01-01 00:36:00,2023-01-01 01:09:03, 00:33:03
38,6393,26965,San Francisco,37.17069044138431,-110.5862290742966,37.12391605617657,-110.59179903266345,3.69,8.58,Completed,Cash,2023-01-01 00:37:00,2023-01-01 00:48:04, 00:11:04
